,INFY.BO,YESBANK.BO,SUNPHARMA.BO,MARUTI.BO,KOTAKBANK.BO,INDUSINDBK.BO,AXISBANK.BO,RELIANCE.BO,TCS.BO,LT.BO,SBIN.BO,HDFC.BO,ICICIBANK.BO,TATASTEEL.BO,HDFCBANK.BO,ITC.BO,TATAMOTORS.BO,VEDL.BO,HINDUNILVR.BO,ADANIPORTS.BO,M&M.BO,BAJAJ-AUTO.BO,ASIANPAINT.BO,WIPRO.BO,HEROMOTOCO.BO,NTPC.BO,COALINDIA.BO,POWERGRID.BO,TATAMTRDVR.BO
413,671.4722290039062,371.5464172363281,591.6951904296875,8925.302734375,1290.904296875,1987.595458984375,617.5331420898438,1204.2825927734375,1948.60693359375,1220.3983154296875,294.70001220703125,1909.095703125,329.21221923828125,564.158203125,1035.8154296875,301.4632873535156,248.6999969482422,190.1737060546875,1715.7994384765625,369.0740661621094,938.9533081054688,2476.66748046875,1376.65380859375,211.64495849609375,3035.664794921875,121.27241516113281,244.5447998046875,170.5978240966797,135.39999389648438
414,679.3606567382812,368.5779724121094,609.3480834960938,9075.3095703125,1244.2294921875,1972.72412109375,623.0762329101562,1193.591796875,1955.9093017578125,1200.390869140625,292.70001220703125,1859.1966552734375,331.34228515625,553.6331787109375,1029.1021728515625,301.021728515625,251.14999389648438,184.3827362060547,1704.1126708984375,365.7129821777344,936.142578125,2496.888671875,1373.4969482421875,208.25942993164062,3057.1552734375,122.27658081054688,245.37010192871094,170.68894958496094,134.60000610351562
415,682.2443237304688,382.4470520019531,612.9869384765625,9022.3974609375,1262.2696533203125,1979.18994140625,626.3222045898438,1196.8238525390625,1958.9276123046875,1207.546875,302.0,1852.0189208984375,336.89019775390625,565.8148803710938,1029.915283203125,307.8408508300781,257.3500061035156,190.08529663085938,1748.8958740234375,369.66717529296875,947.7802124023438,2491.03759765625,1380.8460693359375,208.0728759765625,3022.268310546875,122.04478454589844,244.2841796875,170.5978240966797,136.0
416,660.2471923828125,383.322998046875,614.36376953125,8950.994140625,1271.2647705078125,1979.2396240234375,623.4258422851562,1228.1007080078125,1957.5159912109375,1288.98779296875,307.54998779296875,1887.8577880859375,335.20599365234375,584.1361694335938,1039.76220703125,307.2030944824219,269.54998779296875,196.09730529785156,1743.5926513671875,373.2259216308594,955.0784301757812,2559.47119140625,1389.8228759765625,211.57054138183594,3074.78515625,122.46942901611328,246.8903350830078,170.82565307617188,143.8000030517578
417,659.8182983398438,380.5491638183594,624.7391967773438,8979.7431640625,1262.9193115234375,1965.2137451171875,635.4109497070312,1239.6368408203125,1960.6805419921875,1287.2353515625,306.8999938964844,1880.6309814453125,335.7508850097656,567.4228515625,1038.6514892578125,306.85968017578125,269.04998779296875,193.798583984375,1721.004638671875,373.1271057128906,944.377685546875,2553.432861328125,1383.164306640625,214.6960906982422,3079.018310546875,124.5556640625,253.27542114257812,170.6433868408203,144.64999389648438
418,666.9202880859375,377.92132568359375,628.5254516601562,9096.6611328125,1247.4776611328125,1947.6068115234375,631.0164184570312,1262.7091064453125,1981.906982421875,1316.7838134765625,302.25,1874.1417236328125,333.76947021484375,556.9465942382812,1031.9779052734375,305.4860534667969,257.3999938964844,189.90847778320312,1740.1551513671875,379.40435791015625,948.4213256835938,2514.488525390625,1375.0260009765625,215.44027709960938,3052.317626953125,127.10551452636719,250.7126922607422,173.14950561523438,140.35000610351562
419,657.744873046875,364.6361999511719,619.2318725585938,9037.2900390625,1254.1241455078125,1917.117919921875,638.8067016601562,1271.01318359375,1988.479248046875,1307.340087890625,300.29998779296875,1886.5303955078125,328.4952392578125,560.7960205078125,1026.6033935546875,304.5048828125,255.60000610351562,197.99813842773438,1749.8287353515625,371.89141845703125,955.472900390625,2506.437744140625,1373.6448974609375,217.52398681640625,2988.7763671875,126.91265869140625,252.27639770507812,173.9241180419922,139.3000030517578
420,674.403564453125,372.8603515625,611.5117797851562,9122.056640625,1273.763427734375,1938.1070556640625,649.2437744140625,1284.488525390625,1997.6807861328125,1320.337646484375,308.25,1891.6923828125,338.2475891113281,566.25341796875,1031.1646728515625,307.5465087890625,258.8999938964844,199.32432556152344,1759.55126953125,374.60992431640625,964.201171875,2529.0458984375,1380.648681640625,220.6495361328125,2999.24267578125,128.34243774414062,254.18760681152344,180.25775146484375,140.4499969482422
421,678.9078979492188,361.42437744140625,610.9216918945312,9288.73046875,1283.858154296875,1923.2357177734375,659.7806396484375,1310.9420166015625,2011.21533203125,1319.996826171875,304.95001220703125,1919.7144775390625,337.20269775390625,574.342041015625,1039.6629638671875,305.63323974609375,260.29998779296875,203.70071411132812,1739.0750732421875,382.8642578125,965.0394897460938,2516.781982421875,1388.34326171875,220.20301818847656,3006.731201171875,130.0030517578125,255.9684600830078,179.346435546875,139.1999969482422
422,672.23486328125,356.2173767089844,610.429931640625,9235.12890625,1286.8565673828125,1897.1236572265625,655.7357177734375,1287.32275390625,2011.458740234375,1315.712890625,309.6499938964844,1917.4532470703125,338.9939270019531,578.92236328125,1030.51025390625,306.8106384277344,261.6000061035156,201.49041748046875,1727.486328125,381.1837463378906,968.1461791992188,2517.53076171875,1373.151611328125,220.9849090576172,3014.127685546875,128.2645263671875,249.36618041992188,176.52134704589844,140.35000610351562
423,675.6428833007812,352.2269592285156,628.9189453125,9085.6162109375,1275.3626708984375,1866.3363037109375,648.744384765625,1267.0848388671875,2024.74951171875,1313.911865234375,308.1499938964844,1901.229736328125,342.7257080078125,592.8094482421875,1024.9075927734375,313.188232421875,259.6499938964844,203.1702423095703,1739.614990234375,378.9100646972656,968.8858642578125,2529.32666015625,1357.3189697265625,222.3988494873047,2996.916748046875,130.7374267578125,248.0631103515625,178.5718231201172,138.5500030517578
424,686.3673706054688,334.221435546875,641.4087524414062,8972.05078125,1284.6575927734375,1893.8409423828125,648.3948364257812,1234.117431640625,2023.5322265625,1332.9454345703125,308.8500061035156,1899.1158447265625,340.98419189453125,586.328857421875,1022.4781494140625,313.1391296386719,267.1000061035156,200.8715362548828,1748.69921875,378.9595031738281,951.9717407226562,2571.032958984375,1352.5345458984375,224.48255920410156,3026.45458984375,132.01234436035156,248.5408935546875,182.80943298339844,142.1999969482422
425,683.2453002929688,330.52301025390625,645.0967407226562,8801.1845703125,1269.365966796875,1886.5794677734375,630.9664916992188,1223.62548828125,2000.89404296875,1328.2723388671875,306.3999938964844,1907.129150390625,332.426025390625,585.2081298828125,1028.4576416015625,306.85968017578125,266.70001220703125,201.75564575195312,1668.6103515625,380.24462890625,932.937255859375,2588.632568359375,1341.042236328125,230.0639190673828,3016.732421875,130.66046142578125,249.7136993408203,177.47824096679688,144.10000610351562
426,701.286376953125,325.1700439453125,643.3264770507812,8751.5283203125,1259.0213623046875,1842.064697265625,639.7056274414062,1235.5096435546875,2038.1380615234375,1323.5989990234375,296.6000061035156,1922.2711181640625,326.7039794921875,577.9478149414062,1017.401123046875,303.81805419921875,262.04998779296875,198.44020080566406,1621.814208984375,368.48089599609375,918.833984375,2557.552001953125,1294.2841796875,233.3383026123047,2963.796875,129.73326110839844,243.19830322265625,176.70362854003906,142.64999389648438
427,695.7095336914062,334.7080993652344,652.4234619140625,8768.541015625,1237.8829345703125,1846.2425537109375,636.6094970703125,1219.0509033203125,2023.4835205078125,1312.6949462890625,296.75,1907.325927734375,328.3459777832031,578.7761840820312,1013.513916015625,304.35772705078125,265.54998779296875,202.94921875,1582.1378173828125,374.11566162109375,917.4532470703125,2591.9560546875,1299.463134765625,236.68711853027344,2928.86279296875,129.5784149169922,241.06991577148438,177.61492919921875,142.89999389648438
428,693.9459228515625,329.9390563964844,665.4542236328125,8651.572265625,1259.671142578125,1871.111083984375,638.2573852539062,1253.2117919921875,2021.0982666015625,1311.0396728515625,296.6499938964844,1921.730224609375,326.853271484375,585.159423828125,1019.6619873046875,304.8482971191406,269.95001220703125,202.72817993164062,1579.24072265625,379.94805908203125,922.0885620117188,2605.6240234375,1296.84912109375,238.47314453125,2940.771240234375,132.54051208496094,246.02162170410156,181.5335693359375,144.39999389648438
429,698.9031372070312,314.8046875,653.210205078125,8612.369140625,1247.2777099609375,1866.3861083984375,644.349853515625,1269.7203369140625,2024.9932861328125,1313.133056640625,291.8500061035156,1892.6265869140625,333.4211730957031,603.2369995117188,1020.3065795898438,304.553955078125,277.5,204.275390625,1609.5870361328125,372.7810974121094,960.0589599609375,2737.34228515625,1299.512451171875,241.15220642089844,3095.62451171875,133.20840454101562,248.23684692382812,178.38954162597656,148.0500030517578
430,697.7592163085938,315.0966491699219,628.9189453125,8529.1318359375,1224.4901123046875,1818.986572265625,650.7418823242188,1250.228271484375,2026.45361328125,1304.2244873046875,285.0,1852.215576171875,331.430908203125,597.8770751953125,1012.6412963867188,300.4330749511719,275.54998779296875,197.2466583251953,1581.696044921875,367.49237060546875,925.0966186523438,2683.5595703125,1274.9495849609375,241.7842559814453,3049.945556640625,132.81597900390625,243.37200927734375,178.4820098876953,146.85000610351562
431,699.9517211914062,308.235107421875,620.6087036132812,8395.6923828125,1205.750244140625,1819.53369140625,649.6932373046875,1231.631103515625,1992.1307373046875,1294.78076171875,282.29998779296875,1834.222412109375,325.01226806640625,577.2169189453125,991.7181396484375,291.651611328125,267.20001220703125,193.97540283203125,1562.9381103515625,360.52313232421875,927.512939453125,2650.325927734375,1278.3035888671875,240.6312713623047,2956.586669921875,133.28765869140625,245.67413330078125,172.74989318847656,142.75
