,INFY,YESBANK,SUNPHARMA,MARUTI,KOTAKBANK,INDUSINDBK,AXISBANK,RELIANCE,TCS,LT,SBIN,HDFC,ICICIBANK,TATASTEEL,HDFCBANK,ITC,TATAMOTORS,VEDL,HINDUNILVR,ADANIPORTS,M&M,BHARTIARTL,BAJAJ-AUTO,ASIANPAINT,WIPRO,HEROMOTOCO,NTPC,COALINDIA,ONGC,POWERGRID,TATAMTRDVR
75,539.176636,314.18899500000003,506.472412,9097.785156,1113.031982,1832.774414,546.0,910.831665,1450.921021,1331.5410160000001,263.25,1806.7823489999998,285.703094,591.123474,1906.911377,261.35836800000004,353.399994,284.299988,1380.4838869999999,384.505615,773.019348,385.549988,2711.2548829999996,1149.849731,285.600006,3637.8007810000004,165.95074499999998,280.5,178.69743300000002,194.083542,199.0
76,543.89502,307.10202000000004,519.134216,9135.168945,1125.125854,1843.1434329999997,539.5,923.3543699999999,1492.312866,1334.3551029999999,257.299988,1798.7984620000002,280.956207,597.018005,1904.079468,259.837402,355.299988,296.649994,1398.3491210000002,375.799622,780.4093019999999,384.549988,2699.888672,1150.048706,286.0,3645.622314,166.000015,282.350006,180.284973,194.18211399999998,200.550003
77,562.4539179999999,306.560669,513.301819,9037.458984,1130.772949,1841.605469,548.299988,921.8635859999999,1552.589355,1340.42749,254.30000299999998,1813.377686,283.28018199999997,588.028809,1914.065674,257.089874,358.049988,289.350006,1402.964233,370.17804,781.55011,380.100006,2708.462402,1158.657959,286.799988,3662.145264,166.837906,280.950012,179.987305,193.541412,202.149994
78,565.72052,304.542847,511.65679900000003,8978.655273,1147.9141849999999,1844.532593,541.900024,933.094299,1559.369263,1338.205933,251.19999700000002,1825.4774170000003,285.010834,584.8359379999999,1915.804565,255.91236899999998,356.649994,291.899994,1399.143066,380.028229,781.798096,377.799988,2733.2036129999997,1157.314331,293.350006,3646.3066409999997,168.612259,285.350006,181.078751,194.72425800000002,202.800003
79,548.202087,305.477936,518.087402,9070.864258,1169.4532470000001,1851.7758789999998,542.200012,931.504089,1576.096191,1350.103882,249.30000299999998,1855.3300780000002,284.219696,581.986938,1926.3371579999998,259.54303,338.950012,290.399994,1409.16748,385.848785,794.742859,377.200012,2782.588379,1172.343018,289.950012,3713.327637,171.224487,285.100006,180.086533,196.202789,193.5
80,544.427368,303.115631,511.507233,8998.109375,1164.505737,1853.1154789999998,532.549988,937.9146119999999,1566.74292,1343.093384,248.19999700000002,1874.421997,288.472107,585.3762820000001,1935.031616,262.732117,336.899994,289.649994,1434.923096,380.923706,803.0751339999999,381.299988,2805.321045,1169.605957,285.5,3685.9033200000003,174.62532,287.600006,179.391983,201.969101,192.600006
81,544.645081,304.395203,510.360687,8963.131836,1157.359375,1830.343506,518.700012,931.255676,1563.575684,1343.4884029999998,246.25,1861.1816410000001,286.98870800000003,590.9270019999999,1924.747437,270.140625,335.5,292.149994,1440.481079,382.615143,792.8085940000001,384.799988,2804.977783,1165.724365,292.700012,3658.47876,175.758926,285.049988,180.384201,201.969101,190.949997
82,548.153625,313.00784300000004,507.26998899999995,8917.836914,1154.610718,1819.875244,513.5,935.4796140000001,1578.986206,1366.8400880000002,246.25,1849.13147,285.950317,609.64209,1929.616211,271.808777,334.850006,311.700012,1443.359375,384.505615,796.627563,394.950012,2797.580078,1161.29541,291.600006,3646.062256,174.92103600000002,282.850006,181.723679,205.221909,191.449997
83,570.196899,303.60778799999997,503.88021900000007,8879.175781,1153.861084,1799.9311519999999,505.85000599999995,922.3605349999999,1685.761719,1346.4998779999999,241.399994,1816.601074,278.830017,595.691711,1948.495483,270.778473,336.25,308.399994,1454.5251460000002,379.331757,794.098083,400.75,2796.110352,1153.631714,298.350006,3661.265381,171.766647,292.049988,180.929916,204.334793,190.949997
84,572.664978,308.135529,512.653809,8902.854492,1170.00293,1861.0534670000002,506.450012,929.4169919999999,1690.116577,1343.290894,242.69999700000002,1815.956299,276.45651200000003,595.053162,1920.772827,269.993439,333.5,305.0,1440.381958,383.311615,815.871216,403.649994,2796.55127,1173.039673,296.850006,3634.818848,171.07663,289.200012,179.491196,203.89122,188.75
85,558.413086,318.323059,516.093445,8909.830078,1166.204956,1862.0953370000002,505.25,963.804871,1675.4880369999998,1360.076416,240.600006,1838.1226809999998,281.055115,587.7341309999999,1923.703979,270.48407000000003,331.549988,298.049988,1447.776001,389.977936,831.692688,406.100006,2831.531982,1167.565674,287.049988,3636.627686,170.43588300000002,290.100006,181.177979,203.053375,188.25
86,561.800659,320.09481800000003,512.753479,8781.858398,1166.704712,1835.205566,498.39999400000005,964.749084,1716.1968989999998,1342.599731,237.399994,1834.155518,275.81375099999997,575.895935,1905.023315,268.76687599999997,328.649994,290.200012,1448.669312,390.127167,847.365295,419.799988,2841.477539,1159.752686,287.200012,3634.965332,169.351563,290.700012,178.151718,204.236206,185.149994
87,568.9386599999999,346.523285,511.008728,8791.337891,1183.14624,1864.8735350000002,494.549988,969.370544,1752.05603,1330.010498,233.350006,1840.7012940000002,275.66540499999996,568.871582,1918.0402829999998,273.084412,330.299988,291.0,1480.0823970000001,394.455292,852.7218019999999,408.850006,2827.955566,1154.378174,281.450012,3673.0954590000006,169.795151,290.299988,179.739258,203.940506,185.399994
88,573.536072,342.979828,522.673523,8624.458984,1187.9438480000001,1871.174438,538.900024,988.6516109999999,1709.713989,1359.434692,242.649994,1842.585693,284.862488,579.2852780000001,1910.637451,274.016602,336.799988,294.200012,1463.507446,399.430115,854.507324,408.950012,2877.634277,1178.862061,275.350006,3632.1301270000004,168.415115,285.549988,179.342377,204.827637,188.949997
89,580.432129,356.366302,526.561829,8668.524414,1209.732666,1883.4781489999998,518.049988,957.195618,1747.621826,1382.934448,246.30000299999998,1869.1655269999999,281.30233799999996,584.246521,1932.24939,276.175385,340.200012,298.5,1497.749146,404.404968,865.617065,409.549988,2888.608398,1194.4880369999998,278.75,3650.413086,169.598007,283.850006,179.094315,204.679779,191.449997
90,579.657837,348.68875099999997,513.999695,8599.84668,1256.608765,1852.371338,523.450012,967.034973,1730.9938960000002,1383.921875,240.649994,1894.8032230000001,274.033661,564.941895,1957.835815,281.768555,336.0,283.450012,1460.480225,397.887909,855.5983890000001,408.0,2905.510986,1215.986084,275.5,3580.6057130000004,168.02079799999998,280.75,178.300552,202.116974,188.699997
91,571.939087,348.442688,532.8927,8603.040039,1232.7709960000002,1863.186768,532.400024,956.698669,1723.4913329999997,1362.841187,241.80000299999998,1907.101318,278.681641,575.355591,1955.053711,278.922913,333.450012,286.350006,1443.954956,394.803497,856.0943599999999,404.399994,2912.026855,1200.808105,270.149994,3575.521729,171.914505,277.450012,179.292755,203.59552,187.300003
92,567.607849,339.977692,517.190063,8527.288086,1230.921875,1872.0177,520.299988,948.0520630000001,1722.610596,1352.967285,241.94999700000002,1896.340454,279.76947,571.0820309999999,1975.2247309999998,272.299408,334.25,281.899994,1454.028931,406.146179,847.315735,396.600006,2832.266846,1188.615845,270.149994,3578.1613770000004,168.612259,271.75,178.895874,204.77835100000001,187.149994
